 67, 70, 72, 72, 76, 78, 77, 78, 75, 76, 81, 78, 80, 81, 83, 82,Mei
 69, 70, 72, 73, 75, 78, 77, 78, 75, 77, 77, 78, 80, 79, 82, 84,Mei
 67, 69, 70, 73, 75, 78, 78, 79, 76, 77, 77, 78, 81, 81, 81, 83,Mei
 72, 70, 74, 75, 79, 79, 79, 79, 77, 76, 78, 79, 81, 81, 82, 83,Mei
 66, 64, 70, 72, 74, 75, 76, 76, 75, 78, 78, 79, 81, 81, 82, 82,Mei
 68, 69, 74, 73, 77, 75, 78, 78, 80, 76, 78, 80, 81, 81, 82, 83,Mei
 66, 68, 68, 68, 74, 75, 76, 79, 73, 78, 75, 79, 79, 77, 80, 85,Mei
 65, 68, 70, 71, 74, 75, 76, 76, 76, 76, 76, 76, 79, 79, 81, 82,Mei
 67, 70, 69, 69, 74, 79, 77, 78, 75, 77, 77, 78, 80, 81, 81, 81,Mei
 67, 68, 69, 70, 76, 76, 78, 76, 78, 77, 70, 77, 83, 79, 81, 81,Mei
 66, 70, 69, 71, 73, 78, 76, 72, 74, 75, 77, 78, 79, 79, 81, 80,Mei
 59, 63, 64, 66, 69, 70, 72, 73, 72, 73, 79, 76, 81, 78, 78, 81,Mei
 69, 71, 67, 73, 76, 78, 77, 79, 76, 78, 77, 77, 80, 80, 82, 82,Mei
 70, 72, 72, 73, 78, 79, 79, 83, 76, 79, 78, 80, 81, 85, 82, 83,Mei
 70, 71, 72, 72, 76, 75, 78, 77, 76, 78, 78, 79, 81, 82, 85, 83,Mei
 69, 70, 71, 71, 74, 76, 76, 78, 76, 78, 77, 77, 80, 82, 80, 83,Mei
 69, 68, 69, 70, 74, 75, 77, 78, 75, 76, 76, 77, 79, 81, 82, 81,Mei
 67, 70, 72, 72, 75, 75, 75, 76, 75, 77, 77, 79, 80, 84, 82, 84,Mei
67, 70, 70, 70, 75, 76, 76, 79, 74, 77, 77, 78, 80, 82, 82, 82,Mei
 64, 66, 67, 70, 71, 72, 73, 76, 72, 72, 73, 75, 78, 77, 78, 80,Mei
 77, 78, 78, 79, 81, 82, 82, 83, 79, 80, 83, 81, 84, 84, 84, 84,Mei
 44, 48, 51, 54, 58, 61, 64, 65, 63, 65, 67, 69, 72, 73, 74, 75,Mei
 74, 75, 74, 75, 79, 80, 80, 82, 78, 80, 80, 80, 83, 83, 83, 84,Mei
 61, 63, 64, 65, 70, 75, 72, 73, 71, 73, 74, 74, 77, 78, 78, 80,Mei
 72, 71, 73, 75, 77, 79, 82, 80, 76, 77, 78, 82, 81, 78, 83, 82,Mei
 64, 65, 67, 69, 72, 72, 73, 75, 72, 73, 75, 75, 78, 79, 77, 79,Mei
 48, 54, 54, 58, 62, 63, 64, 67, 66, 69, 68, 72, 71, 72, 74, 74,Mei
 62, 62, 67, 66, 71, 71, 72, 73, 70, 73, 72, 74, 77, 76, 78, 78,Mei
 51, 56, 55, 59, 62, 65, 64, 69, 65, 67, 69, 70, 73, 74, 76, 76,Mei
 76, 75, 76, 75, 82, 79, 84, 79, 78, 80, 80, 79, 81, 84, 83, 82,Mei
 73, 76, 77, 79, 79, 81, 80, 80, 80, 79, 79, 80, 81, 82, 83, 82,Mei
 39, 43, 46, 49, 53, 57, 58, 60, 59, 60, 63, 65, 69, 69, 70, 73,Mei
 59, 62, 63, 66, 69, 71, 73, 72, 71, 72, 73, 76, 76, 78, 78, 79,Mei
 68, 71, 71, 71, 75, 77, 76, 79, 75, 77, 78, 79, 80, 82, 80, 81,Mei
 71, 69, 69, 71, 74, 75, 77, 76, 75, 75, 76, 77, 79, 80, 81, 81,Mei
 59, 63, 62, 64, 68, 69, 70, 72, 70, 73, 72, 74, 77, 76, 78, 80,Mei
 57, 60, 60, 64, 71, 69, 63, 71, 72, 71, 75, 73, 75, 79, 77, 78,Mei
 58, 60, 63, 64, 68, 68, 70, 72, 70, 75, 72, 75, 77, 77, 78, 80,Mei
 60, 63, 64, 66, 69, 70, 75, 74, 72, 71, 73, 73, 78, 77, 79, 79,Mei
 29, 36, 40, 43, 49, 52, 55, 58, 57, 57, 61, 64, 66, 69, 69, 71,Mei
 59, 62, 62, 64, 68, 71, 72, 73, 71, 72, 76, 74, 78, 78, 81, 78,Mei
 58, 61, 64, 65, 67, 72, 70, 76, 69, 75, 72, 74, 77, 81, 79, 78,Mei
 61, 61, 64, 65, 68, 70, 70, 71, 70, 71, 73, 74, 76, 77, 79, 80,Mei
 59, 62, 65, 66, 69, 71, 72, 73, 69, 73, 74, 73, 78, 78, 79, 79,Mei
